candidate_id,strategy,seed,bundle_size_target,n_bundles,avg_qualifiers_shown,avg_qualifier_time_seconds,total_respondents_used,all_categories_hit_target,min_completes,mean_interview_seconds,p95_interview_seconds,avg_surveys_per_respondent,share_2plus_surveys,share_3plus_surveys,max_exposure_deviation
40,hybrid_similarity_balanced,3,25,4,19.25,28.875,8053,True,200,236.95022440843647,474.337633289583,1.9123308083943873,0.5005587979634919,0.4436855830125419,0.006842185686653773
41,hybrid_similarity_balanced,1,25,4,19.25,28.875,7560,True,200,250.52674036523,473.7664057407528,2.037037037037037,0.5318783068783068,0.48968253968253966,0.009604957983193278
41,hybrid_similarity_balanced,2,25,4,19.25,28.875,8700,True,200,221.49616748978607,472.98677011113614,1.7701149425287357,0.4632183908045977,0.4262068965517241,0.007102084277299503
41,hybrid_similarity_balanced,3,25,4,19.25,28.875,8053,True,200,236.98654627606345,473.762817280367,1.9123308083943873,0.4991928473860673,0.4584626847137713,0.006842185686653773
42,hybrid_similarity_balanced,1,25,4,19.25,28.875,9390,True,200,207.34644911194238,472.3081424832344,1.640042598509052,0.42875399361022365,0.38945686900958465,0.008934064703442556
42,hybrid_similarity_balanced,2,25,4,19.25,28.875,7797,True,200,243.74678173158125,473.7049307380803,1.9751186353725791,0.51673720661793,0.4749262536873156,0.007388755622188907
42,hybrid_similarity_balanced,3,25,4,19.25,28.875,7807,True,200,243.46665264008442,473.7766037976835,1.9725887024465223,0.51338542333803,0.4681695913923402,0.007572649572649571
43,hybrid_similarity_balanced,1,25,4,19.25,28.875,7560,True,200,250.53804988903954,474.20935506233945,2.037037037037037,0.5281746031746032,0.4869047619047619,0.009604957983193278
43,hybrid_similarity_balanced,2,25,4,19.25,28.875,8700,True,200,221.45478817944127,473.8975700904848,1.7701149425287357,0.46218390804597703,0.42137931034482756,0.007102084277299503
43,hybrid_similarity_balanced,3,25,4,19.25,28.875,8053,True,200,236.914461338773,474.1650530761108,1.9123308083943873,0.5016763938904756,0.45473736495715883,0.006842185686653773
44,hybrid_similarity_balanced,1,25,4,19.25,28.875,7560,True,200,250.48447846046813,474.9700526482192,2.037037037037037,0.5316137566137566,0.47513227513227513,0.009604957983193278
44,hybrid_similarity_balanced,2,25,4,19.25,28.875,8700,True,200,221.49823645530333,473.50167472057507,1.7701149425287357,0.46160919540229883,0.41574712643678163,0.007102084277299503
44,hybrid_similarity_balanced,3,25,4,19.25,28.875,8053,True,200,236.95022440843647,474.0756437159143,1.9123308083943873,0.5005587979634919,0.44964609462312183,0.006842185686653773
